+-----------------------------------------+--------------------+----------+-----------------------------------+
| File                                    | Execution Time     | Action   | Signature                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.073909759521484    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.070095062255859    | Execute  | test(340, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.088214874267578    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056028366088867    | Execute  | test(350)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.073909759521484    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.056028366088867    | Execute  | test(360, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.075101852416992    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.066995620727539    | Execute  | test(370)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.092029571533203    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.052928924560547    | Execute  | test(380, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.101089477539063    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.055789947509766    | Execute  | test(390)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.087738037109375    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.058174133300781    | Execute  | test(400, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.082015991210938    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.066041946411133    | Execute  | test(410)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.132083892822266    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.09608268737793     | Execute  | test(420, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.138998031616211    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.089883804321289    | Execute  | test(430)                         |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.090122222900391    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.05793571472168     | Execute  | test(440, "dummy")                |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.080108642578125    | Execute  | test-2(("key": false), (1, 2, 3)) |
| sass-prof-spec.scss:sass-prof-spec.scss | 0.058889389038086    | Execute  | test(450)                         |
